DATE,MRTSSM444USN
2014-01-01,19688.0
2014-02-01,18801.0
2014-03-01,24103.0
2014-04-01,30137.0
2014-05-01,33416.0
2014-06-01,30072.0
2014-07-01,28642.0
2014-08-01,26446.0
2014-09-01,26195.0
2014-10-01,27329.0
2014-11-01,24821.0
2014-12-01,24056.0
2015-01-01,20731.0
2015-02-01,19493.0
2015-03-01,25939.0
2015-04-01,30766.0
2015-05-01,32472.0
2015-06-01,30879.0
2015-07-01,29874.0
2015-08-01,27143.0
2015-09-01,26908.0
2015-10-01,27697.0
2015-11-01,26101.0
2015-12-01,26259.0
2016-01-01,21425.0
2016-02-01,22556.0
2016-03-01,29121.0
2016-04-01,31513.0
2016-05-01,33664.0
2016-06-01,33136.0
2016-07-01,29128.0
2016-08-01,28883.0
2016-09-01,27789.0
2016-10-01,27467.0
2016-11-01,27432.0
2016-12-01,25813.0
2017-01-01,22380
2017-02-01,22486.0
2017-03-01,29214.0
2017-04-01,31245.0
2017-05-01,35616.0
2017-06-01,33427.0
2017-07-01,30054.0
2017-08-01,30302.0
2017-09-01,28989.0
2017-10-01,29690.0
2017-11-01,29202.0
2017-12-01,26760.0
2018-01-01,23580.0
2018-02-01,23569.0
2018-03-01,29824.0
2018-04-01,32098.0
2018-05-01,38021.0
2018-06-01,35056.0
2018-07-01,33218.0
2018-08-01,32162.0
2018-09-01,29421.0
2018-10-01,32577
2018-11-01,29980.0
2018-12-01,27607.0
2019-01-01,26709.0
2019-02-01,24116.0
2019-03-01,30005.0
2019-04-01,34109.0
2019-05-01,37309.0
2019-06-01,33542.0
2019-07-01,33697.0
2019-08-01,32355
2019-09-01,29933.0
2019-10-01,32581.0
2019-11-01,29680.0
2019-12-01,28437.0
2020-01-01,26760.0
2020-02-01,26046.0
2020-03-01,31827.0
2020-04-01,35460.0
2020-05-01,41873.0
2020-06-01,41538.0
2020-07-01,38901.0
2020-08-01,36253.0
2020-09-01,36546.0
2020-10-01,37209.0
2020-11-01,34338.0
2020-12-01,34252.0
2021-01-01,30948.0
2021-02-01,29409.0
2021-03-01,43231.0
2021-04-01,46854.0
2021-05-01,46691.0
2021-06-01,45284.0
2021-07-01,41476.0
2021-08-01,39902.0
2021-09-01,39189.0
2021-10-01,39777.0
2021-11-01,39834.0
2021-12-01,38576.0
2022-01-01,33929.0
2022-02-01,33660.0
2022-03-01,44603.0
2022-04-01,46289.0
2022-05-01,50296.0
2022-06-01,48326.0
2022-07-01,43612.0
2022-08-01,45326.0
2022-09-01,42783.0
2022-10-01,43217.0
2022-11-01,40667.0
2022-12-01,38982.0
2023-01-01,35195.0
2023-02-01,34065.0
2023-03-01,41869.0
2023-04-01,43232.0
2023-05-01,50535.0
2023-06-01,46360.0
2023-07-01,41865.0
2023-08-01,43921.0
2023-09-01,39883.0
2023-10-01,41941.0
2023-11-01,39719.0
2023-12-01,36580.0
2024-01-01,32796.0
