DATE,POLPROMANMISMEI
2014-03-01,93.81107
2014-04-01,95.06747
2014-05-01,93.39227
2014-06-01,94.64867
2014-07-01,95.90508
2014-08-01,94.64867
2014-09-01,95.62586999999999
2014-10-01,96.32387
2014-11-01,96.60307
2014-12-01,96.88226999999999
2015-01-01,98.83667
2015-02-01,99.67426999999999
2015-03-01,100.5119
2015-04-01,97.71987
2015-05-01,97.71987
2015-06-01,99.67426999999999
2015-07-01,100.7911
2015-08-01,99.11587
2015-09-01,100.3723
2015-10-01,101.0703
2015-11-01,102.3267
2015-12-01,103.4435
2016-01-01,103.1643
2016-02-01,103.5831
2016-03-01,102.1871
2016-04-01,104.2811
2016-05-01,104.0019
2016-06-01,104.0019
2016-07-01,103.0247
2016-08-01,105.1187
2016-09-01,105.2583
2016-10-01,104.0019
2016-11-01,106.3751
2016-12-01,107.7711
2017-01-01,108.4691
2017-02-01,108.8879
2017-03-01,111.8195
2017-04-01,109.8651
2017-05-01,110.1443
2017-06-01,112.5174
2017-07-01,110.4235
2017-08-01,114.6115
2017-09-01,113.4947
2017-10-01,116.2866
2017-11-01,116.147
2017-12-01,118.7994
2018-01-01,116.845
2018-02-01,116.4262
2018-03-01,114.1926
2018-04-01,118.241
2018-05-01,119.2182
2018-06-01,118.241
2018-07-01,119.2182
2018-08-01,121.1726
2018-09-01,119.637
2018-10-01,121.1726
2018-11-01,119.9162
2018-12-01,121.8706
2019-01-01,121.5914
2019-02-01,124.2438
2019-03-01,124.8022
2019-04-01,125.221
2019-05-01,124.8022
2019-06-01,121.1726
2019-07-01,122.9874
2019-08-01,121.8706
2019-09-01,124.6626
2019-10-01,125.919
2019-11-01,125.221
2019-12-01,123.825
2020-01-01,127.8734
2020-02-01,128.4318
2020-03-01,118.3806
2020-04-01,91.01908
2020-05-01,103.4435
2020-06-01,116.2866
2020-07-01,124.523
2020-08-01,126.4774
2020-09-01,129.2694
2020-10-01,130.805
2020-11-01,131.9218
2020-12-01,132.899
2021-01-01,134.7138
2021-02-01,134.1554
2021-03-01,138.0642
2021-04-01,136.8078
2021-05-01,138.6226
2021-06-01,138.483
2021-07-01,139.0414
2021-08-01,138.9018
2021-09-01,140.0186
2021-10-01,142.1126
2021-11-01,147.6966
2021-12-01,146.4402
2022-01-01,152.1638
2022-02-01,154.3974
2022-03-01,152.7222
2022-04-01,154.2578
2022-05-01,154.2578
2022-06-01,152.3034
2022-07-01,152.7222
2022-08-01,153.2806
2022-09-01,154.2578
2022-10-01,153.5598
2022-11-01,155.933
2022-12-01,155.0954
2023-01-01,152.3034
2023-02-01,153.141
2023-03-01,152.1638
2023-04-01,150.7678
2023-05-01,150.4886
2023-06-01,152.1638
2023-07-01,150.349
2023-08-01,151.4658
2023-09-01,152.1638
2023-10-01,153.141
2023-11-01,152.3034
2023-12-01,156.0726
2024-01-01,153.0014
2024-02-01,153.4202
2024-03-01,150.7678
